id,word,words,letter,pos_en,pos_ms,morph,definition_en,definition_ms,example_semai,example_en,example_ms
g9e18bfed-3915-4862-b709-5c6a7c2371aa,adeh,adeh,a,,,,"this (pl. these); used to indicate a matter, object or situation that is taking place now or here",ini,"""Baju adeh imenghal iregak, had mai kek jeoi iduet taleh buleh naikot,"" Wak Maria kiurok nu Wak Sali.","""These clothes are expensive, only those who have a lot of money can afford to buy them,"" Wak Maria said to Wak Sali.","""Baju ini mahal harganya, hanya mereka yang mempunyai wang yang banyak saja mampu membelinya,"" Wak Maria berkata kepada Wak Sali."
g9e18bfed-3915-4862-b709-5c6a7c2371aa,adeh,adeh,a,,,,this (pl. there); referring to the person or thing near the speaker or near indicated or mentioned,ini; kata yang digunakan untuk menunjukkan sesuatu perkara; benda atau keadaan yang berlaku waktu sekarang atau tempat yang dekat,"""Adeh baju hek?"" Wak Tania kitanya nu itenek.","""","""Ini baju kamu?"" Wak Tania bertanya kepada kakaknya."
gd1482534-9e6f-46c7-9dfd-7aef1ec39695,adel,adel,a,,kata sifat,,"fair; unbiased; not in favor of any part of, a group or a particular group; not excessive","saksama; adil; tidak berat sebelah; tidak berpihak pada mana-mana bahagian, kumpulan atau sesuatu kelompok tertentu; tidak melebihi atau mengurangkan mana-mana pihak; jujur; ",Negare jadi aman medei ipemerintah adel nu dikdij irakyat.,The country became peaceful because its government was fair to all its people.,Negara menjadi aman kerana pemerintahnya yang adil terhadap semua rakyatnya.
gb59f8fe5-b1f2-4c91-99cf-3a8d080bbc8f,aderas,aderas,a,,kata keterangan,,fast; quick; as fast as possible,cepat; pantas; dengan secepat yang mungkin; lekas,"""Cip aderas gek! Iarik ya kaha-manik,"" Wak Mia kiurok nu ikenon.","""Walk a bit faster! It is about to rain,"" Wak Mia said to her daughter.","""Jalan cepat sikit! Hari mahu hujan,"" Wak Mia berkata kepada anaknya."
gc3471269-091c-47e9-b8ea-356ed26ac8d7,adon,adon,a,,kata kerja,,"mix, stir",campur; menggaul sesuatu supaya sebati atau serasi (perihal tentang masakkan cth: tepung diadun bersama telur untuk memasak kuih-muih),,,
gee034840-010c-4518-aacd-f1a1746a41ff,adot,adot,a,,kata nama,,"individuals in the older generation of grandparents, i.e. parents or grandparents to one's grandparents","moyang; individu-individu pada generasi yang lebih tua dari datuk dan nenek, iaitu ibu bapa atau datuk nenek kepada datuk dan nenek seseorang","Bah Sani kitanya, ""Arik adeh mong danan, danan bok?"" Kiberlag ya Wak Jangkor, ""Danan adot Bah Rom.""","Bah Sani asked, ""I heard that today somebody passed away, who was it?"" Wak Jangkor replied, ""The great-great-grandmother of Bah Rom.""","Bah Sani bertanya, ""Hari ini ada orang meninggal dunia, siapa?"" Wak Jangkor menjawab, ""Moyang Bah Rom."""
g74dfff2b-d1e4-43fe-bca7-15b76f5c2444,adu,adu,a,,kata kerja,,to report; to inform,mengadu; melaporkan; memberitahu kepada orang lain tentang sesuatu hal; mengkhabarkan,,,
g2babd290-a61e-4cb0-b4e9-55dd91614f90,aga,aga,a,,kata perintah,,for prohibition,jangan,,,
ga4ecf45a-0f4a-4714-9fea-0a10be9ae57b,aga-aga,aga-aga,a,,kata nama,,jelly,agar-agar; sejenis makanan lembut yang diperbuat daripada cecair manis bercampur gula dan bahan-bahan lain,Wak Nila kibeh aga-aga ha caknak harijadi ikenon.,Wak Nila made jelly for her son's birthday party.,Wak Nila membuat agar-agar untuk jamuan harijadi anaknya.
g1e45aee5-2f81-467d-ada7-8d7077c28f3e,agame,agame,a,,kata nama,,religion,agama; anutan seseorang; kepercayaan berhubung kait dengan ketuhanan; kepercayaan seseorang tentang tuhan,"Ku Malaysia adeh, isengoi biog kebebasan ha muj ma taleh iagame de naiminat, asal pek salah ju undang-undang.","In Malaysia, its people are given the freedom to practice whatever religion they want, as long as it is not illegal.","Di Malaysia, penduduknya diberi kebebasan untuk menganuti apa saja agama yang mereka mahukan, asalkan ianya tidak menyalahi undang-undang."
g451893e6-7036-46cb-98e7-f874b4dd9dd1,agij,agij,a,,kata keterangan,,fast; quick; as fast as possible,cepat; pantas; dengan secepat yang mungkin; lekas,"""Jar agij, cok ajeh kibeseh ha hik!"" Wak Bibah kitarek teg imenang.","""Run fast, the dog is chasing us!"" Wak Bibah said, pulling her sister's hand.","""Lari cepat, anjing itu mengejar kita!"" Wak Bibah menarik tangan adiknya."
g0722a929-eb32-47e5-a76d-085ebc371ca0,agok,agok,a,,kata perintah,,for prohibition,jangan; untuk larangan yang menyatakan tidak boleh,"Mai engrak selalo naibesat, amen hiet nu tempat mai kena panei bejaga diri. Agok hiui tok tentu-tentu.","The old people always say, if we go to someone else's place we should know how to take care of ourselves. Do not do unnecessary things.","Orang tua selalu berpesan, jika kita pergi ke tempat orang lain kita harus tahu menjaga diri sendiri. Jangan suka membuat perkara yang tak tentu."
g6cd2aeb5-375d-4ca6-a6d1-f496ad30c67c,aher,aher,a,,kata nama,,end,akhir,,,
g092c8421-3ffe-4b85-b92f-bf70b82befd3,ajaib,ajaib,a,,kata nama,,miracle,ajaib; sesuatu yang diluar kebiasaan,,,
g6d4a6c9e-4e42-442c-b8b2-f57c4ea28040,ajak,ajak / 1,a,,kata kerja,,to request; to invite ,meminta seseorang membuat sesuatu; meminta seseorang datang atau turut pergi ke suatu tempat,,,
ge5b1c513-b819-4edb-920f-612fb05c500a,ajak,ajak / 2,a,,kata nama,,grandmother,nenek; emak kepada ibu atau bapa; pasangan kepada datuk,Ajak Bah Ude kigemar cak beleg ru sireh.,Bah Ude's grandmother likes to eat betel nut and betel leaves.,Nenek Bah Ude suka makan buah pinang dan sirih.
g0ffbdea4-3618-4274-8e73-f57b66272e9b,ajar,ajar / 1,a,,kata kerja,,to teach,mengajar; membuat seseorang mahir atau tahu tentang sesuatu perkara atau hal,Wak Pipi kiajar komputer nu mambek sanget ku ikampug.,Wak Pipi taught computer lessons to the children in her village.,Wak Pipi mengajar komputer pada kanak-kanak di kampungnya.
gf0b3316c-a9c0-4920-9963-4e23bbb72e27,,,a,,,,,,,,
g0331db1d-05aa-468e-bed9-f1246681c1c5,ajeh,ajeh,a,,,,that (pl. those); the,itu,"""Tulog kot penes ajeh, eng ngha-pes deg,"" engrok amek nu menang eng.","""Please get that broom, I want to sweep the house,"" mother said to my younger sibling.","""Tolong ambil penyapu itu, saya mahu menyapu rumah,"" kata ibu kepada adik saya."
g0331db1d-05aa-468e-bed9-f1246681c1c5,ajeh,ajeh,a,,,,that (pl. those),itu,"""Amen hapan-pes begei ajeh, dij habok naiheg majeh-manen. Maleh iguna habesapu amen begei ajeh?"" Wak Endoi kiurok nu ikenon menaleh.","""If you swing the broom hard, the dust will fly everywhere. What is the point of sweeping the floor if you do it like that?"" Wak Endoi said to his daughter.","""Jika kamu menghayun penyapu tersebut dengan kuat, semua habuk akan terbang ke merata-rata. Apa gunanya kamu menyapu jika berbuat demikian?"" Wak Endoi berkata kepada anak gadisnya."
g627f0b91-6432-48c3-8964-a0c2765143cd,ajehnek,ajehnek,a,,kata keterangan,,just now,sebentar tadi,"""Pai ajehnek Bah Sam kijog ju kendeh. Kiurok kaha-singah nu kedei canuk sebelom kijog madeg,"" Bah Rami kiberlag bile bitanya ya apak Bah Sam.","""Just now Bah Sam returned home from here. He said he wanted to stop by the shop first before returning home,"" Bah Rami replied when asked by Bah Sam's father.","""Baru sebentar tadi Bah Sam pulang ke rumah dari sini. Dia berkata mahu singgah ke kedai dahulu sebelum pulang ke rumah,"" Bah Rami menjawab apabila ditanya oleh bapa Bah Sam."
gb7ac8855-7461-4e41-adbc-b69a35bc16be,ajereh,ajereh,a,,demonstratif,,down there,di bawah sana,"""Deg Bah Selamat ku kerop ajereh,"" Wak Suna kipasal nu mai de betanya nu kek.","""Bah Selamat's house is down there,"" Wak Suna replied to the person that asked her the question.","""Rumah Bah Selamat adalah di bawah sana,"" Wak Suna menjawab kepada orang yang bertanya kepadanya."
gc825526c-e2e0-4f52-8d6c-b62f05cd605e,,,a,,,,,,,,
gf8a9e2cb-6c99-4240-9fb0-dd16d9b790e8,ajinek,ajinek,a,,kata keterangan,,that's it; that indeed,itu dia,"""Ajinek kenun Bah Dupa,"" Wak Mira kiternyol nu sengoi de betanya nu ilei.","""That is Bah Dupa's child,"" Wak Mira said, pointing to the person who asked her.","""Itu dia anak Bah Dupa,"" Wak Mira menunjukkan kepada orang yang bertanya kepadanya."
gecddd841-05cd-4a2a-9774-c6d7aba1bc26,akal,akal,a,,kata nama,,caprice; whims; vagaries,kerenah; ragam; kelakuan; sikap seseorang; perangai; tingkahlaku,"""Agok jeoi akal amen haha-joi eng,"" Wak Manja kiurok nu imenang.","""Don't be whimsical if you want to go with me,"" Wak Manja said to her sister.","""Jangan banyak kerenah jika kamu mahu mengikut saya,"" Wak Manja berkata kepada adiknya."
ga3be3e6e-fb94-4607-b405-c519ccb45529,akat,akat,a,,kata seru,,an expression of disbelief,ungkapan rasa tidak percaya,Akat ilei deh de bipileh nek.,"No way, he will not be the one chosen earlier.",Takkan dia ini yang dipilih tadi.
gdc8e929d-184b-4437-97c9-789fcd8bb9b8,,,a,,,,,,,,
gbc1995a8-fb67-4e1d-a381-bd203729e88f,akonj,akonj,a,,kata nama,,uncle; the older brother of one's parent,pakcik; abang kepada ibu atau bapa ,Ajon Bah Ude kikerjak aska ku kem Bidor.,Bah Ude's uncle works as a soldier at the Bidor camp.,Pakcik Bah Ude berkerja sebagai askar di kem Bidor.
gaf91de50-dccf-4111-afe9-bf05c24a690e,aku,aku / 1,a,,kata kerja,,to admit,mengakui,Bah Ian kiakuk ilei mong ikenah kilek mase bitanya ya ikenah padehjeh.,Bah Ian admitted that he had another wife when asked by his wife.,Bah Ian mengakui bahawa dia mempunyai isteri yang lain apabila ditanyai oleh isterinya.
g6309c980-a0e9-4359-a7a1-1c131e59e4a7,aku,aku / 2,a,,kata kerja,,to agree to be responsible,bersetuju untuk bertanggungjawab,"Nar tahut canukjeh, Bah Kukag kiakuk ha kerjak bahneh gertak kampug ajeh. Tapi lei hunen pekseg siap igertak ajeh.","Two years ago, Bah Kukag agreed to take responsibility for the bridge construction work in the village. But until now the bridge has not been completed.","Dua tahun yang lepas, Bah Kukag bersetuju untuk bertanggungjawab terhadap kerja-kerja pembinaan jambatan di kampung tersebut. Tetapi sehingga sekarang jambatan tersebut belum siap dibina."
g42b71555-cb38-4d11-bf54-f0b21d80f079,,,a,,,,,,,,
gb823a38f-38a9-4b57-97bc-416e2545d3e0,alah,alah,a,,kata sifat,,to lose; to be defeated,kalah; tidak menang; tewas di dalam sesuatu pertandingan,"""Mase jilawan bula ru mai ju kampug englag, jik jialah 3 - 0,"" Bah Sam kipasal nu iapak.","""In the football competition with the residents of the neigbouring village, we lost 3 - 0,"" Bah Sam told his father.","""Semase perlahwanan bola sepak dengan penduduk kampung sebelah, kami kalah 3 - 0,"" Bah Sam memberitahu kepada bapanya."
g2c16d581-c20a-4135-8230-f3b8c5165439,alak,alak,a,,kata kerja,,to head; to go towards; to aim at; to direct,hala; tuju; arah; arah tujuan,"""Bas adeh kialak nu belok?"" Wak Salia kitanya nu ideriba bas. ""Nu Kampar,"" ideriba kiberlag.","""Where is this bus headed?"" Wak Salia asked the bus driver. ""To Kampar,"" the bus driver replied.","""Bas ini menuju ke mana?"" Wak Salia bertanya kepada pemandu bas tersebut. ""Ke Kampar,"" pemandu bas tersebut menjawab."
g8470ca8d-8dcb-4e15-b385-d94765f73ceb,alam,alam,a,,kata nama,,world; universe,alam; segala sesuatu yang ada di langit dan di bumi; bumi dan segala yang terdapat di angkasa raya,,,
g4abddf1a-038f-4aa2-b292-f2f0491c0492,alang,alang,a,,kata nama,,name usually given to the third child in a  family,(A-) panggilan atau gelaran nama bagi anak yang ketiga dalam keluarga mengikut turutan kelahiran,"""Muh eng Wak Alang medei eng kenon numbor tige,"" Wak Alang kipasal ni ikekawat kerjak ku itempat kerjak pai.","""My name is Wak Alang because I'm the third child in the family,"" Wak Alang told her co-workers at her new workplace.","""Nama saya Wak Alang kerana saya anak yang ketiga,"" Wak Alang memberitahu kepada kawan-kawan sekerjanya di tempat kerjanya yang baharu."
g4abddf1a-038f-4aa2-b292-f2f0491c0492,alang,alang,a,,kata nama,,third child,anak ketiga,Tenek eng ilei alang jeh imuh Bah Sugi. ,The name of my brother who is the third child is Bah Sugi.,Abang saya yang ketiga itu namanya Bah Sugi. 
gd8f18ccc-b6c6-4c26-9610-0d95e0894297,alas,alas,a,,kata nama,,cover,pengalas; pelapik untuk meletakkan sesuatu (objek dsb),"Wak Lila kikot alas mija pai, iregak had imenurah.",Wak Lila bought a new table cloth and the price was very cheap.,Wak Lila membeli alas meja baharu dan harganya sangat murah.
g6518c04e-c61e-4395-becc-ee1bca7ce2b9,alaupen,alaupen,a,,kata hubung,,even though; although,walaupun; meskipun; biarpun,"Alaupen Bah Ude tok pek kibesekolah tinggi, tapi kek selalo kibeusaha kaha-bejaya ku kateh isinui.","Even though Bah Ude is not highly educated, he always strives to succeed in life.","Walaupun Bah Ude tidak berpendidikan tinggi, tetapi dia selalu berusaha untuk berjaya di dalam hidup."
g14d7ad16-520b-4951-8222-5e5bb4700323,ale,ale,a,,kata nama,,direction; course,hala; arah; tuju; haluan; arah yang ditujui,"""Nu belok iale deg tok penghulu?"" Bah Pian kitanya nu sengoi de kibakek ku tepi nong.","""Which it the way to the headman's house?"" Bah Pian asked the person that he saw at the side of the road.","""Ke mana arahnya rumah tok penghulu?"" Bah Pian bertanya kepada orang yang beliau ternampak di tepi jalan."
gd50e2efd-2a6c-4cba-8e8c-728315a04ccb,aleh-aleh,aleh-aleh,a,,kata keterangan,,suddenly,tiba-tiba; dengan tidak disangka-sangka; dengan mendadak; sekonyong-konyong; serta-merta,"Kenon Wak Mila tengah kibukbet ku kateh buei, aleh-aleh kiku-jap medei bikap ya kemet.",Wak Mila's son was sleeping in the cradle; suddenly he cried because he was bitten by a mosquito.,"Anak Wak Mila sedang tidur di dalam buaian, tiba-tiba dia menangis kerana digigit oleh nyamuk."
g631ecc06-20c7-468f-839c-6b16b860bddf,alet,alet,a,,kata kerja,,to apply make-up on the face; to paint the face,"memalit; mencelak; membubuh, mewarnakan, mencalit pewarna khas pada bahagian tertentu wajah; menyapu sejenis bahan pewarna (sejenis alat solekan) bahagian tertentu pada wajah ",Menaleh manah entem naialet mat enai ya kajal.,Girls in the old days painted their eyes with charcoal.,Gadis pada zaman dulu memalit mata mereka dengan arang.
g505e0092-ee92-433b-9e48-cdaef8540b50,alim,alim,a,,kata sifat,,pious,alim; saleh,,,
g5576f0aa-4576-46d5-8095-9c0143961f9d,alit,alit,a,,kata nama,,eyeliner; a type of black powder or various colors used to make eyelashes or the eyelids beutiful; a kind of makeup item ,celak; sejenis serbuk berwarna hitam atau pelbagai warna yang digunakan untuk mencantikan bulu mata atau keliling mata; sejenis barang solek,,,
g17a7dc85-cd7d-4570-aa50-3eca59f937b0,alod,alod,a,,kata kerja,,to lie; to cheat,bohong; tipu; tidak betul atau tidak benar; dusta,,,
g52a7fb00-8a05-4ef0-846b-57344960b739,ama,ama,a,,kata perintah,,do not (for prohibition),jangan; kata larangan yang menunjukkan atau menyatakan tidak boleh,,,
g8727b319-cd3b-47ca-a58c-eaa380225587,amai,amai,a,,kata perintah,,do not (prohibition),jangan; untuk larangan yang menyatakan tidak boleh,"""Amai renyah, menang kaha-bubet,"" amek kiurok nu jik.","""Don't be noisy, your younger sister wants to sleep,"" mother said to us.","""Jangan bising, adik mahu tidur,"" ibu berkata kepada kami."
g3d3dfef1-f451-418f-8eca-d861008b7d1f,,,a,,,,,,,,
g07f73121-c1dd-40a7-8161-f9f81cd16314,amek,amek,a,,kata nama,,mother,ibu; orang perempuan yang sudah mempunyai anak,"Wak Nana ajeh numom amek, ilei mong nar urag ikenon. Numom keral ru numom nij kerdor.","Wak Nana is a mother and she has two children, a son and a daughter.",Wak Nana adalah seorang ibu dan dia mempunyai dua orang anak. Seorang lelaki dan seorang perempuan.
g64a4e82d-5b05-4592-b47d-21be3482c8b2,amek berencak,amek berencak,a,,kata nama,,adoptive mother,ibu angkat,Wak Jiah bidek ya iamek berencak ju isenanget.,Wak Jiah has been taken care of by his adoptive mother since childhood.,Wak Jiah dijaga oleh ibu angkat sejak dari kecil.
g1fb756fe-baad-48df-b12c-8411f14d708a,amek jop,amek jop,a,,kata nama,,grandmother,nenek,"Hamapen ilei ya engrak, amek jop Wak Jaja lekat kuat, lekat lalu kicat cenan ru kigol rangas.","Even though she is already old, Wak Jaja's grandmother is still strong, she is still able to climb a hill and carry a full basket of firewood.","Walaupun beliau sudah tua, nenek kepada Wak Jaja masih kuat, masih mampu mendaki bukit dan memikul kayu api."
g3e32e3cb-66b5-40cc-963c-c2828f232d78,amelek,amelek,a,,kata tanya,,why,mengapa; kenapa; kata untuk menanyakan sebab ,,,
ga906e15c-c855-4495-a2e9-72cec17c7c4e,amen,amen,a,,kata hubung,,if,jikalau; jika; kalau,"""Amen hek hahok ha eng, hotleh hajoi engrok eng,"" Wak Kiah kiurok nu ikenon.","""If you love me, you will want to follow my advice,"" Wak Kiah said to her son.","""Jikalau kamu sayangkan saya, kamu hendaklah mengikuti nasihat saya,"" Wak Kiah berkata kepada anaknya."
g74d63517-0bd9-4642-941d-d9aa57242a13,amok,amok,a,,kata nama,,aunt; the older sister of one's parent,makcik; kakak kepada ibu atau bapa,"""Amok kikek rangas ru amek eng,"" Bah Yani kiberlag bile bitanya ya iajok.","""Auntie went looking for firewood with my mother,"" Bah Yani replied when he was asked by his grandmother.","""Makcik pergi mencari kayu api dengan ibu saya,"" Bah Yani menjawab apabila ditanya oleh neneknya."
g53500e95-868e-4497-a981-3670c1a1d9cd,ampar salah,ampar salah,a,,kata kerja,,to plead guilty,mengaku salah,Bah Inal kiampar salah nu penghulu.,Bah Inal pleaded guilty to the chief.,Bah Inal mengaku salah kepada penghulu.
ge42c6a4d-74f7-45ca-a773-8bc82290861d,ampuk,ampuk,a,,kata kerja,,to withstand; to endure,"tahan; menahan sesuatu benda termasuk manusia, binatang atau objek dari roboh atau jatuh.",,,
gdd0d8fa9-fa73-4864-8b73-d3284b2d7590,anak buah,anak buah,a,,kata nama,,nephew; niece,anak saudara,"""Anak buah eng dij-padij mong 22 urag,"" Wak Samnah kipasal nu ikawat keral.","""The total number of my nephews and nieces is 22,"" Wak Samnah told her boyfriend. ","""Anak buah saya kesemuanya berjumlah 22 orang,"" Wak Samnah memberitahu kepada teman lelakinya."
gfb6784e9-1bc6-4694-b131-6b34195fe018,andak,andak,a,,kata nama,,fifth child (female),anak kelima (perempuan),Wak Yan ajeh iandak ku kateh iberadek. ,Wak Yan is the fifth child among her siblings.,Wak Yan adalah anak yang kelima dalam adik beradiknya.
gaed3185b-314e-48fe-bc9f-06bd6d1408a8,anen,anen,a,,kata keterangan,,that/there,situ; kata untuk menunjukkan tempat yang tidak berapa jauh,"""Dek arap adeh tang anen,"" Bah Suan kiurok nu ikenon.","""Put this stuff there,"" Bah Suan said to his son.","""Simpan barang ini di situ,"" Bah Suan berkata kepada anaknya."
g781da748-4833-4039-87a1-c00586036e6a,ang,ang,a,,kata kerja,,to gape; to open the mouth wide,membuka mulut seluas-luasnya,Sanget ajeh kiang iempag mase bipersop canak ya iamek.,The boy opened his mouth widely as the rice was being put into his mouth.,Budak itu menganga mulutnya semasa disuap nasi ke mulutnya.
gb9bbc294-c302-4342-a8d2-58865ea76c39,angkit,angkit,a,,kata kerja,,to lift up; to take up,"angkat; menaikkan, menggerakkan sesuatu ke atas",Wak Lydia kiangkit periok canak de beket kiguna tag abat.,Wak Lydia lifted up the hot rice pot using a rag.,Wak Lydia mengangkat periuk nasi yang panas menggunakan kain buruk.
ga2de8d1d-bf54-4be8-9014-1581dec7539f,angkop,angkop,a,,kata nama,,callipers,angkup; alat untuk menyepit sesuatu benda yang kecil,,,
gb87330e5-ccea-4b32-9e80-a7550451df83,angkot,angkot,a,,kata kerja,,to carry; to transport; to collect,"mengangkut; bawa; membawa; pungut; memungut (barang, orang, binatang)",Luri ajeh kiangkot pelek bali nu ikilang bali.,The lorry transported the oil palm fruit to the palm oil factory.,Lori itu mengangkut biji kelapa sawit ke kilang sawit.
g2190b76a-0062-4e59-8e33-a6fe8c1c9d99,angsa,angsa,a,,kata nama,,goose,angsa,Bah Ali mong kibela jeoi angsa ku ikenong deg.,Bah Ali raises lots of geese at the back of his house.,Bah Ali ada memelihara banyak angsa di belakang rumahnya.
gbc935ed4-3ae0-4504-9e76-b8770e254f23,aninen,aninen,a,,kata keterangan,,just that; only that,itu sahaja,"""Cengroi de mong had aninen taleh, pek cukop ha caknak tengah arik hik,"" Wak Ramlah kipasal nu igensir.","""That is the only rice that is left, and it is not enough for our lunch,"" Wak Ramlah told her husband.","""Beras yang ada cuma itu sahaja, tidak mencukupi bagi makanan tengah hari kita,"" Wak Ramlah memberitahu kepada suaminya."
gf2ddbce6-5a0f-46d2-bccb-4404abe6bd81,anj,anj,a,,kata kerja,,to carry,bawa,Bah Wan kianj imat bali ku kateh kerite surong.,Bah Wan is carrying the oil palm seeds in the wheel-barrow.,Bah Wan membawa biji kelapa sawit di dalam kereta sorong.
g9a5c90a0-5b8e-4d1f-a7b7-e9fd456133b6,anoh,anoh,a,,demonstratif,,this,ini,"""Eng ngcet bunga had ku kawasan anoh taleh, tok pek ngcet ku kebon hek ajeh,"" Wak Maria kiurok nu igensir.","""I planted the flowers in this area only, I did not plant them in the area of your garden,"" Wak Maria said to her husband.","""Saya menanam bunga cuma pada kawasan ini sahaja, saya tidak menanamnya pada kawasan kebun kamu itu,"" Wak Maria berkata kepada suaminya."
ge669039d-8363-41af-b3c7-3045d8cda4c0,antare,antare,a,,kata sendi nama,,"among, between",antara,,,
gb8e52035-f08d-4c37-95d6-73393ce4e2b1,anuk,anuk,a,,kata seru,,um; what's-it-called; an expression uncertainty or hesitation,anu; sesuatu perkara yang tidak dapat disebut dengan jelas atau yang teragak-agak disebut,"""Bok ianuk adeh neh?"" Bah Sali kitanya nu ikenon. ""Anuk eng beh,"" ikenon kiberlag.","""Whoes is this?"" Bah Sali asked his son. ""Um, mine,"" his son answered.","""Ini siapa punya?"" Bah Sali bertanya kepada anaknya. ""Anu, saya punyalah,"" anaknya menjawab."
gef87aa5e-cd2e-46aa-b8b4-b884903ddc10,apabile,apabile,a,,kata hubung,,while; when,apabila; ketika; semasa; bilamana; sewaktu; tatkala,"Apabile mai ajeh mai lei nu penoj bas, bas ajeh pen kicip.","When they arrived at the bus stop, the bus began to move.","Apabila mereka itu sampai ke perhentian bas, bas itu pun mula bergerak."
gb072c197-364e-48ea-873d-d75f95082b87,apah,apah,a,,kata nama,,direction,"bahagian arah, hala, tujuan atau kedudukan sesuatu (tempat, orang dsb.)","""Jerkek doh cah nu apah ajeh. Eng ru amek doh jarcah nu apah ateh,"" Bah Rilan kipasal nu ikekenon litau. ","""You two cut the grass in that direction. Your mother and I will cut the grass on this direction,"" Bah Rilan told to his boys.","""Kamu berdua nanti menebas ke arah situ. Saya dan ibu akan menebas ke arah sana,"" Bah Rilan memberitahu kepada anak-anaknya."
gef6a5b1f-82e8-487f-8f14-1c673ea705e3,apak,apak,a,,kata nama,,father,bapa; ayah; abah; orang lelaki yang sudah mempunyai anak ,Apak Wak Jaja kikerakjak ku Hospital Besar sebegei pemandu ambulan.,Wak Jaja's father works at the General Hospital as an ambulance driver.,Bapa kepada Wak Jaja bekerja di Hospital Besar sebagai pemandu ambulan.
g93ae80af-9d8d-4e4e-8d08-19e2763dba3d,apak berencak,apak berencak,a,,kata nama,,adoptive father,bapa angkat,Bah Kaling bidek ya iapak berencak.,Bah Kaling was taken care of by his adoptive father.,Bah Kaling dijaga oleh bapa angkatnya.
ge9e2572b-a2d7-4fc8-9bd7-806887050e2f,apak jop,apak jop,a,,kata nama,,grandfather,datuk,"Mase cuti sekulah, Wak Milah ru iperingak naijog nu kampug iapak jop.","During the school holidays, Wak Milah and her family went back to her grandfather's village.","Semasa cuti sekolah, Wak Milah dan keluarganya pulang ke kampung datuknya."
gd1d9898e-4d03-4d36-855f-46e82beeaf6f,apam balek,apam balek,a,,kata nama,,a kind of common dessert that looks like a folded pancake,apam balik; sejenis kuih manis yang diperbuat daripada tepung,,,
gbac57765-508c-4d88-8f1c-8420870bcaac,apeka,apeka,a,,kata nafi,,it is not,bukanlah,,,
